	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	Mean	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL	GLOBAL
	PELVIS_ANGLE_X	PELVIS_ANGLE_X	PELVIS_ANGLE_X	PELVIS_ANGLE_Y	PELVIS_ANGLE_Y	PELVIS_ANGLE_Y	PELVIS_ANGLE_Z	PELVIS_ANGLE_Z	PELVIS_ANGLE_Z	HIP_ANGLE_X	HIP_ANGLE_X	HIP_ANGLE_X	HIP_ANGLE_Y	HIP_ANGLE_Y	HIP_ANGLE_Y	HIP_ANGLE_Z	HIP_ANGLE_Z	HIP_ANGLE_Z	KNEE_ANGLE_X	KNEE_ANGLE_X	KNEE_ANGLE_X	KNEE_ANGLE_Y	KNEE_ANGLE_Y	KNEE_ANGLE_Y	KNEE_ANGLE_Z	KNEE_ANGLE_Z	KNEE_ANGLE_Z	ANKLE_ANGLE_X	ANKLE_ANGLE_X	ANKLE_ANGLE_X	ANKLE_ANGLE_Y	ANKLE_ANGLE_Y	ANKLE_ANGLE_Y	FOOT_PROGRESS	FOOT_PROGRESS	PELVIS_ANGLE_X	PELVIS_ANGLE_X	PELVIS_ANGLE_X	PELVIS_ANGLE_Y	PELVIS_ANGLE_Y	PELVIS_ANGLE_Y	PELVIS_ANGLE_Z	PELVIS_ANGLE_Z	PELVIS_ANGLE_Z	HIP_ANGLE_X	HIP_ANGLE_X	HIP_ANGLE_X	HIP_ANGLE_Y	HIP_ANGLE_Y	HIP_ANGLE_Y	HIP_ANGLE_Z	HIP_ANGLE_Z	HIP_ANGLE_Z	KNEE_ANGLE_X	KNEE_ANGLE_X	KNEE_ANGLE_X	KNEE_ANGLE_Y	KNEE_ANGLE_Y	KNEE_ANGLE_Y	KNEE_ANGLE_Z	KNEE_ANGLE_Z	KNEE_ANGLE_Z	ANKLE_ANGLE_X	ANKLE_ANGLE_X	ANKLE_ANGLE_X	ANKLE_ANGLE_Y	ANKLE_ANGLE_Y	ANKLE_ANGLE_Y	FOOT_PROGRESS	FOOT_PROGRESS
	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D	P2D
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1	2	0	1
1	1.000000	12.649416	1.483894	1.000000	0.001726	0.865356	1.000000	5.404330	4.733294	1.000000	29.822222	2.173702	1.000000	-2.235857	1.710582	1.000000	-1.459580	2.478086	1.000000	1.691641	3.263546	1.000000	-1.237660	0.628163	1.000000	-23.174961	4.210249	1.000000	-18.005173	4.439938	1.000000	14.982797	4.515682	1.000000	-23.202202	1.000000	12.649416	1.483894	1.000000	0.001726	0.865356	1.000000	5.404330	4.733294	1.000000	29.822222	2.173702	1.000000	-2.235857	1.710582	1.000000	-1.459580	2.478086	1.000000	1.691641	3.263546	1.000000	-1.237660	0.628163	1.000000	-23.174961	4.210249	1.000000	-18.005173	4.439938	1.000000	14.982797	4.515682	1.000000	-23.202202
2	2.000000	12.725652	1.531865	2.000000	0.062375	0.851430	2.000000	5.696693	4.733193	2.000000	30.023914	2.212094	2.000000	-2.052933	1.724044	2.000000	-1.652161	2.469702	2.000000	2.245468	2.738740	2.000000	-1.281975	0.619496	2.000000	-23.483463	4.104868	2.000000	-18.113230	4.323439	2.000000	15.143955	4.646448	2.000000	-22.988161	2.000000	12.725652	1.531865	2.000000	0.062375	0.851430	2.000000	5.696693	4.733193	2.000000	30.023914	2.212094	2.000000	-2.052933	1.724044	2.000000	-1.652161	2.469702	2.000000	2.245468	2.738740	2.000000	-1.281975	0.619496	2.000000	-23.483463	4.104868	2.000000	-18.113230	4.323439	2.000000	15.143955	4.646448	2.000000	-22.988161
3	3.000000	12.779159	1.566920	3.000000	0.156617	0.837287	3.000000	5.941715	4.722398	3.000000	30.283451	2.242893	3.000000	-1.807224	1.721249	3.000000	-1.887375	2.472457	3.000000	3.320779	2.333566	3.000000	-1.285119	0.631393	3.000000	-23.697756	3.790687	3.000000	-18.231869	4.211454	3.000000	15.224845	4.718218	3.000000	-22.791946	3.000000	12.779159	1.566920	3.000000	0.156617	0.837287	3.000000	5.941715	4.722398	3.000000	30.283451	2.242893	3.000000	-1.807224	1.721249	3.000000	-1.887375	2.472457	3.000000	3.320779	2.333566	3.000000	-1.285119	0.631393	3.000000	-23.697756	3.790687	3.000000	-18.231869	4.211454	3.000000	15.224845	4.718218	3.000000	-22.791946
4	4.000000	12.805269	1.585091	4.000000	0.278112	0.827533	4.000000	6.131094	4.699723	4.000000	30.562712	2.238975	4.000000	-1.498746	1.701201	4.000000	-2.120481	2.490699	4.000000	4.768282	2.095148	4.000000	-1.261516	0.650117	4.000000	-23.702744	3.295466	4.000000	-18.372698	4.102562	4.000000	15.199757	4.751337	4.000000	-22.599688	4.000000	12.805269	1.585091	4.000000	0.278112	0.827533	4.000000	6.131094	4.699723	4.000000	30.562712	2.238975	4.000000	-1.498746	1.701201	4.000000	-2.120481	2.490699	4.000000	4.768282	2.095148	4.000000	-1.261516	0.650117	4.000000	-23.702744	3.295466	4.000000	-18.372698	4.102562	4.000000	15.199757	4.751337	4.000000	-22.599688
5	5.000000	12.797182	1.588421	5.000000	0.422512	0.824413	5.000000	6.254420	4.664531	5.000000	30.823782	2.191710	5.000000	-1.125509	1.664718	5.000000	-2.322419	2.514187	5.000000	6.424592	2.039641	5.000000	-1.210987	0.653856	5.000000	-23.356369	2.704147	5.000000	-18.499939	4.002447	5.000000	15.026608	4.757448	5.000000	-22.416246	5.000000	12.797182	1.588421	5.000000	0.422512	0.824413	5.000000	6.254420	4.664531	5.000000	30.823782	2.191710	5.000000	-1.125509	1.664718	5.000000	-2.322419	2.514187	5.000000	6.424592	2.039641	5.000000	-1.210987	0.653856	5.000000	-23.356369	2.704147	5.000000	-18.499939	4.002447	5.000000	15.026608	4.757448	5.000000	-22.416246
6	6.000000	12.748675	1.583724	6.000000	0.588609	0.828335	6.000000	6.299762	4.617725	6.000000	31.032984	2.111127	6.000000	-0.687116	1.618529	6.000000	-2.490200	2.537250	6.000000	8.163344	2.131910	6.000000	-1.144846	0.641129	6.000000	-22.627609	2.160871	6.000000	-18.550064	3.915239	6.000000	14.640363	4.723270	6.000000	-22.249287	6.000000	12.748675	1.583724	6.000000	0.588609	0.828335	6.000000	6.299762	4.617725	6.000000	31.032984	2.111127	6.000000	-0.687116	1.618529	6.000000	-2.490200	2.537250	6.000000	8.163344	2.131910	6.000000	-1.144846	0.641129	6.000000	-22.627609	2.160871	6.000000	-18.550064	3.915239	6.000000	14.640363	4.723270	6.000000	-22.249287
